Country,Status,Date,Center ID,Center,Verified,Type,Activity,Org,Capacity,Equipment (R.A.G),Staff,Doctors,Nurses,Isolation Facility,PPE,Burial Site,Water,Power,Comm.,Date open,Date closed,Region,Adm1 ID,District,Adm2 ID,Adm3,Place,Lat,Long,Address,Clinic Website,Notes (example: If closed why?),Source of info,Location in OSM,MTI: Zone,MTI: Zonal Facility,UN Team,UN Site No,UN site name,UTM,UN Gr,UNMIL Grid,UNMIL Grid New
Liberia,Open,19.08.14,LR03-000018,Gonjeh Clinic,Y,Hospital,,AHA,N/A,,,,,,,,,,,,,Bomi,LBR01,Klay,LBR0102,,Gonjeh,6.64807000000,-10.834990,,,,,,,,,,,,,,
Liberia,Closed* ,19.08.14,UN016,Goghen Clinic,Y,1 Public Clinic,,AHA,,,,1 OIC,4,NO,45,NO,,,,,,Bomi,LBR01,Klay,LBR0102,,"Gonjeh (Gogehn, Gobehn, Gogbehn0",6.734145076,-10.734388,,,Closed because of current Ebola Virus situation,"http://www.tlcafrica.com/lisgis/lisgis.htm, http://www.openstreetmap.org/node/3024942083#map=13/6.7340/-10.7341&layers=HN",,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,LH 083 447,29NLH 083 447,29NLH 083 447
Liberia,Open,,UN012,Juajuah clinic,Y,1 Public Clinic,,,,,,1 PA,4,NO,50,NO,,,,,,Bomi,LBR01,Klay,LBR0102,,JuaJuah,6.673484261,-10.756783,,,"OSM identifies as ""Juajuah"" imagery shows a village",,,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,LH 058 380,29NLH 058 380,29NLH 058 380
Liberia,Open,,UN014,Klay Town clinic,Y,1 Public Clinic,,,,,,NO,NO,NO,90,NO,,,,,,Bomi,LBR01,Klay,LBR0102,,Klay,6.692941959,-10.874418,,,"OSM identifies as ""Klay"" imagery shows a town",,,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,KH 928 402,29NKH 928 402,29NKH 928 402
Liberia,,19.08.14,LR03-000001,Malema,Y,Clinic,,AHA,N/A,,,,,,,,,,,,,Bomi,LBR01,Klay,LBR0102,,Malema Gobla,6.67489000000,-10.973650,,,,,,,,,,,,,,
Liberia,Open,19.08.14,UN013,Sass/Sasstown,Y,1 Public Clinic,,MTI,,,,1 PA,4,NO,60,NO,,,,,,Bomi,LBR01,Klay,LBR0102,,Sass Town / Be Sali,6.582574241,-10.891179,,,"OSM identifies as ""Sass Town"" Google maps identifies town as ""Be Sali"" imagery shows a town",,,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,KH 909 280,29NKH 909 280,29NKH 909 280
Liberia,,19.08.14,LR03-000020,Sasstown Clinic,N,Clinic,,AHA,N/A,,,,,,,,,,,,,Bomi,LBR01,Klay,LBR0102,,Zordee,6.67607000000,-10.782530,,,not Sass Town but geolocation for Zordee Community Clinic,"https://www.google.com/maps/place/6%C2%B040'33.9%22N+10%C2%B046'57.1%22W/@6.67607,-10.78253,750m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0",,,,,,,,,,
Liberia,,,LISGIS020,Zordee Community Clinic,N,Clinic,,GOL,,,,,,,,,,,,,,Bomi,LBR01,Klay,LBR0102,,Zordee,6.6761,-10.782900,,,"Locates to area with dense tree cover outside of Zolowo town, unclear if there is a clinic below canopy (Hilary Verified Admin Info is correct for these GPS)",http://www.tlcafrica.com/lisgis/lisgis.htm,,,,,,,,,,
Liberia,,19.08.14,LR03-000019,Guthrie Plantation,Y,Clinic,,Private - non profit,N/A,,,,,,,,,,,,,Bomi,LBR01,Klay,LBR0102,,,6.73926000000,-10.945570,,,,,,,,,,,,,,
Liberia,Open,18.08.14,UN010,Beafini clinic,Y,1 Public Clinic,,MOHSW only; GOL,N/A,,,1 PA,4,NO,80,NO,,,,,,Bomi,LBR01,Senjeh,LBR0103,,Beafini,6.861015299,-10.898588,,,"OSM identifies as ""Beafini"" imagery shows a village; Catchment population 1,785.","http://www.tlcafrica.com/lisgis/lisgis.htm, http://www.mohsw.gov.lr/documents/HSPF_FY%202012-13_Annual%20Report_rev_12-3.pdf",,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,KH 902 588,29NKH 902 588,29NKH 902 588
Liberia,Open,,UN009,Besao clinic,Y,1 Public Clinic,,,,,,NO,NO,NO,39,NO,,,,,,Bomi,LBR01,Senjeh,LBR0103,,Besao,6.729860221,-10.913448,,,"OSM identifies as ""Besao"" - suggest 6.7298114        -10.9144801 as slightly better coordinates.",,,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,KH 885 443,29NKH 885 443,29NKH 885 443
Liberia,Closed,,UN008,Gayah Hill clinic,Y,1 Public Clinic,,,,,,1 PA,4,NO,50,2.5 acres,,,,,,Bomi,LBR01,Senjeh,LBR0103,,Gayah Hill,6.760613773,-10.909951,,,"Closed because of current Ebola Virus situation  OSM identifies as Gayah Hill, imagery shows a village",,,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,KH 889 477,29NKH 889 477,29NKH 889 477
Liberia,,19.08.14,LR03-000011,Sackie Town,,Clinic,,MOHSW only,N/A,,,,,,,,,,,,,Bomi,LBR01,Senjeh,LBR0103,,Sackie,6.97606000000,-10.929740,,,,,,,,,,,,,,
Liberia,Open,,UN011,Sakey clinic,Y,1 Public Clinic,,,,,,1 PA,4,NO,70,NO,,,,,,Bomi,LBR01,Senjeh,LBR0103,,Saykay,6.570707111,-10.920969,,,"OSM identifies as ""Saykay"" imagery shows a village - suggest 6.569707111        -10.920869 as slightly better coordinates (if we trust imagery)",,,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,KH 876 267,29NKH 876 267,29NKH 876 267
Liberia,,19.08.14,LR03-000012,Ahmiddiya,Y,Clinic,,Faith Based Organization,N/A,,,,,,,,,,,,,Bomi,LBR01,Senjeh,LBR0103,,Tubmanburg,6.86888000000,-10.824000,,,,"https://www.google.com/maps/place/6%C2%B052'08.0%22N+10%C2%B049'26.4%22W/@6.8689785,-10.824,783m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0",,,,,,,,,,
Liberia,Open,19.08.14,LR03-000014,Liberia Government Hospital,Y,Hospital,,MOHSW only,100,,,,,,,,,,,,,Bomi,LBR01,Senjeh,LBR0103,,Tubmanburg,6.86717000000,-10.830350,,,,"https://www.google.com/maps/place/6%C2%B052'01.8%22N+10%C2%B049'49.3%22W/@6.8667749,-10.8305546,196m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0",,,,,,,,,,
Liberia,,19.08.14,LISGIS013,St. Luke's Clinic,,Clinic,,NFP,,,,,,,,,,,,,,Bomi,LBR01,Senjeh,LBR0103,,Tubmanburg,6.863166,-10.820971,,,,"http://www.tlcafrica.com/lisgis/lisgis.htm, http://liberia.ushahidi.com/reports/view/173",,,,,,,,,,
Liberia,Open*,17/09/2014,LibTub,Tubmanburg Government Hospital ,Y,Hospital,"ETC, Triage","MOH, Bomi County Health Team",12,,,,,,,,,,,25.08.2014,-,Bomi,LBR01,Senjeh,LBR0103,,Tubmanburg,6.871234897,-10.828065,,,"Bomi County Health Team (CHT) opened three, two-room quarantine units with a 12-bed capacity for Ebola patients. There is a holding centre in Tubmanburg.  (OSM and Google maps confirm city of Tubmanburg at these coordinates)",https://www.internationalsos.com/ebola/index.cfm?content_id=396&language_id=ENG http://www.who.int/csr/disease/ebola/evd-sitrep1-20140828.pdf http://www.liberianewsagency.org/pagesnews.php?nid=2282,http://www.openstreetmap.org/node/476645658#map=15/6.8665/-10.8257,,,,,,,,,
Liberia,Open,,UN020,Alasala,Y,1 Public Clinic,,,,,,1 OIC,3,NO,60,NO,,,,,,Bomi,LBR01,Suehn Mecca,LBR0104,,Alasala,6.583160648,-10.729337,,,"OSM identifies as ""Alasala"" imagery shows a village.",,,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,LH 088 280,29NLH 088 280,29NLH 088 280
Liberia,Open,,UN019,Mecca Town,Y,1 Public Clinic,,,,,,1 PA,4,NO,75,NO,,,,,,Bomi,LBR01,Suehn Mecca,LBR0104,,Mecca,6.835048246,-10.578237,,,"OSM identifies as ""Mecca"" imagery shows a village - marker may not be precise.",,,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,LH 256 558,29NLH 256 558,29NLH 256 558
Liberia,,19.08.14,LR03-000016,Mecca,Y,Clinic,,MOHSW only,N/A,,,,,,,,,,,,,Bomi,LBR01,Suehn Mecca,LBR0104,,Suehn,6.83133000000,-10.579270,,,,,,,,,,,,,,
Liberia,Open,19.08.14,UN018,Suehn Town Clinic,Y,1 Public Clinic,,"GOL (Formerly SC-UK, MOHSW only)",,,,"1 PA; 1 OIC, 1 CM",4,NO,100,NO,,,,,,Bomi,LBR01,Suehn Mecca,LBR0104,,Suehn (Suen),6.617598261,-10.706850,,,"OSM identifies as ""Sueh"" imagery shows a village; AKA Suehn Community Clinic; Catchment population 11,678","http://www.tlcafrica.com/lisgis/lisgis.htm, http://www.mohsw.gov.lr/documents/HSPF_FY%202012-13_Annual%20Report_rev_12-3.pdf",,,,UNMO TEAM SITE 01(TUBMANBURG),1,Tubmanburg,29N,LH 113 318,29NLH 113 318,29NLH 113 318
Liberia,,,LISGIS021,Fefeh Clinic,,Clinic,,"GOL (Formerly SC-UK, MOHSW only)",,,,1 OIC,1 vaccinator,,,,,,,,,Bomi,LBR01,Suehn/Mecca,LBR0104,,Fefeh Town,6.6516,-10.745000,,,"OSM shows Fefeh (Be Fefe) village at the coordinates I have given, but 'Liberia Mapped' suggests the clinic is in Zordee: 6.6707,-10.7716.  Catchment area 2,604.  Former SC-UK supported facility.","http://www.tlcafrica.com/lisgis/lisgis.htm, http://liberia.ushahidi.com/reports/view/239, http://www.openstreetmap.org/node/3007314454#map=16/6.6509/-10.7342&layers=H, http://www.mohsw.gov.lr/documents/HSPF_FY%202012-13_Annual%20Report_rev_12-3.pdf",,,,,,,,,,
Liberia,,,LISGIS016,Mecca Community Clinic,,Clinic,,GOL (MOHSW only),,,,,,,,,,,,,,Bomi,LBR01,Suehn/Mecca,LBR0104,,Mecca,6.83422,-10.578270,,,"Catchment population 5,836.","http://www.tlcafrica.com/lisgis/lisgis.htm, http://www.mohsw.gov.lr/documents/HSPF_FY%202012-13_Annual%20Report_rev_12-3.pdf",,,,,,,,,,
Liberia,Closed,,LISGIS022,Weawolo Community Clinic,,Clinic,,GOL (MOHSW only),,,,,,,,,,,,,,Bomi,LBR01,Suehn/Mecca,LBR0104,,Weawolo,6.6174343,-10.788277,,,"Catchment population 1,646. Closed as of Oct 4th according to Liberia News Agency - see source.","http://www.tlcafrica.com/lisgis/lisgis.htm, http://liberianewsagency.org/pagesnews.php?nid=2822",,,,,,,,,,
Liberia,Open,,UN075,Bong Mines Hospital,Y,Hospital,,MOHSW only,50 beds,,,3,28,,"Available, need additional but quantity not confirmed",Not selected,,,,,,Bong,LBR02,Fuamah,LBR0202,,Bong Town,6.806782053,-10.357393,,,Alt ID: LR06-000020,,,,,UNMO TEAM SITE 03 (KAKATA TEAM SITE),3,Kakata,29N,LH 500 526,29NLH 500 526,29NLH 500 526
Liberia,,19.08.14,LR06-000036,Haindi Clinic,,Clinic,,"Africare-Liberia,GOL",N/A,,,,,,,,,,,,,Bong,LBR02,Fuamah,LBR0202,,Haindi,6.88793000000,-10.385440,,,,,,,,,,,,,,
Liberia,,19.08.14,LR06-000018,Janyea,,Clinic,,Africare-Liberia,N/A,,,,,,,,,,,,,Bong,LBR02,Jorquelleh,LBR0203,,Donieta,6.69888000000,-9.529670,,,,,,,,,,,,,,
Liberia,Open,,UN229,Africa First Baptist Mission (AFBM),Y,Clinic,,NFP,,,,Nil,1,N,,,,,,,,Bong,LBR02,Jorquelleh,LBR0203,,Gbarnga,6.979612129,-9.461447,,,OSM identifies city as Gbarnga - imagery shows outskirts of a small city,,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MH 4903 7152,29NMH 4903 7152,29NMH 4903 7152
Liberia,Open,,UN228,C.B. Dunbar Hospital,Y,Hospital,,MDM,70 beds,,,,,N,,,,,,,,Bong,LBR02,Jorquelleh,LBR0203,,Gbarnga,7.004200176,-9.477677,,,OSM identifies city as Gbarnga - imagery show center of a small city,http://www.theguardian.com/world/gallery/2014/oct/09/ebola-epidemic-spreads-in-pictures,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MH 4724 7424,29NMH 4724 7424,29NMH 4724 7424
Liberia,,19.08.14,LR06-000006,Charles B. Dunbar,,Clinic,,MDM,N/A,,,,,,,,,,,,,Bong,LBR02,Jorquelleh,LBR0203,,Gbarnga,7.00459000000,-9.477430,,,,,,,,,,,,,,
Liberia,,19.08.14,LR06-000007,Liberia Against Malnutrition (LAM),,Clinic,,NFP,N/A,,,,,,,,,,,,,Bong,LBR02,Jorquelleh,LBR0203,,Gbarnga,7.00070000000,-9.473240,,,,,,,,,,,,,,
Liberia,Open,19.08.14,UN230,Samay Clinic,Y,Clinic,,MoHSW,,,,Nil,3,N,,,,,,,,Bong,LBR02,Jorquelleh,LBR0203,,Samita,6.784332527,-9.442616,,,"OSM identifies as ""Samita"" - imagery shows a village",,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MH 5109 4993,29NMH 5109 4993,29NMH 5109 4993
Liberia,,19.08.14,LR06-000017,Gbecohn Health Center,,Clinic,,MDM,N/A,,,,,,,,,,,,,Bong,LBR02,Kokoyah,LBR0204,,Gbecohn,6.66861000000,-9.433490,,,,http://www.tlcafrica.com/lisgis/lisgis.htm,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MH 3208 3712,29NMH 3208 3712,29NMH 3208 3712
Liberia,Open,,UN238,Bellemu Clinic,Y,Clinic,,Africare-Liberia,,,,Nil,2,N,,,,,,,,Bong,LBR02,Kpaii,LBR0205,,Belemu,7.193365963,-9.205787,,,"OSM Identifies as ""Belemu"" - imagery shows a village",,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MH 7728 9513,29NMH 7728 9513,29NMH 7728 9513
Liberia,Open,19.08.14,UN239,Garmue Clinic,Y,Clinic,,Save the Children,,,,0,3,N,,,,,,,,Bong,LBR02,Kpaii,LBR0205,,Gamu,7.233364625,-9.166311,,,"OSM identifies as ""Gamu"" - imagery shows a village",,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MH 8164 9955,29NMH 8164 9955,29NMH 8164 9955
Liberia,Open,,UN237,Jowah Clinic,Y,Clinic,,,,,,Nil,2 Staff-05,N,,,,,,,,Bong,LBR02,Kpaii,LBR0205,,Jowa,7.355543772,-9.233134,,,"OSM identifies as ""Jowa"" - imagery shows a village",,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MJ 7427 1306,29NMJ 7427 1306,29NMJ 7427 1306
Liberia,,,UN241,Kpaii Clinic,Y,Clinic,,Africare-Liberia,,,,Not Known,Not Known,N,,,,,,,,Bong,LBR02,Kpaii,LBR0205,,Kpai,6.97644000000,-9.231740,,,"OSM Identifies as ""Kpai"" - imagery shows a village - Suggest better coordinates of 6.976506, -9.230836",,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MH 742 711,29NMH 742 711,29NMH 742 711
Liberia,Open,,UN236,Forquelleh Clinic,Y,,,SC-UK,,,,Not Known,Not Known,N,,,,,,,,Bong,LBR02,Panta-Kpa,LBR0206,,Fokole,7.127050057,-9.226859,,,"OSM and Geonames Identify as ""Fokele"" - Geonames also identifies as ""Fokwele""",,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MH 7495 8780,29NMH 7495 8780,29NMH 7495 8780
Liberia,Open,19.08.14,UN242,Palala Clinic,Y,Clinic,,MDM,,,,Nil,2,N,,,,,,,,Bong,LBR02,Panta-Kpa,LBR0206,,Palala,7.001822306,-9.287096,,,Geolocated to town (Palala),,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MH 6829 7396,29NMH 6829 7396,29NMH 6829 7396
Liberia,,19.08.14,LR06-000023,Zebay,Y,Clinic,,Africare-Liberia,N/A,,,,,,,,,,,,,Bong,LBR02,Panta-Kpa,LBR0206,,Zabe,6.92475000000,-9.200170,,,Town 1km away called Zabe,,,,,,,,,,,
Liberia,,19.08.14,LR06-000014,Zowienta,Y,Clinic,,MDM,N/A,,,,,,,,,,,,,Bong,LBR02,Panta-Kpa,LBR0206,,Zowienta,6.81907000000,-9.184640,,,,,,,,,,,,,,
Liberia,,19.08.14,LR06-000013,Yila,,Clinic,,Africare-Liberia,N/A,,,,,,,,,,,,,Bong,LBR02,Panta-Kpa,LBR0206,,,6.85940000000,-9.112860,,,,,,,,,,,,,,
Liberia,Dupl LR06-000029; LISGIS047,19.08.14,UN224,Tokpaipolu Clinic,Y,,,Africa Care,N/A,,,Not,Not,N,,,,,,,,Bong,LBR02,Salala,LBR0207,,Guleta,6.72024689,-9.824291,,,OSM and Geonames Identify as Guleta - Note no structures visible in imagery,,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MH 089 429,29NMH 089 429,29NMH 089 429
Liberia,Open,19.08.14,UN223,Salala Clinic,Y,Clinic,,Africare-Liberia,,,,Nil,4,N,,,,,,,,Bong,LBR02,Salala,LBR0207,,Salala,6.749827593,-10.098037,,,,,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,LH 7865 4623,29NLH 7865 4623,29NLH 7865 4623
Liberia,Open,19.08.14,UN222,Totota Clinic,Y,Clinic,,Save the Children,,,,Nil,5,N,,,,,,,,Bong,LBR02,Salala,LBR0207,,Totota,6.810664267,-9.941902,,,Geonames Identifies as Totota - imagery shows a town,http://www.tlcafrica.com/lisgis/lisgis.htm,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,LH 9592 5292,29NLH 9592 5292,29NLH 9592 5292
Liberia,,,UN240,Zointa Clinic,Y,,,,,,,Not Known,Not Known,N,,,,,,,,Bong,LBR02,Salala,LBR0207,,Zowienta,6.815887488,-9.188246,,,"OSM identifies as ""Zowienta"" - imagery shows a village",,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MH 792 534,29NMH 792 534,29NMH 792 534
Liberia,Open,19.08.14,UN225,Gbonota Clinic,Y,Clinic,,MoHSW,,,,Nil,3,N,,,,,,,,Bong,LBR02,Sanoyea,LBR0208,,Gbonota,7.108716364,-9.781772,,,Geonames Identifies as Gbonota - imagery shows small clearings in forest,,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MH 1367 8584,29NMH 1367 8584,29NMH 1367 8584
Liberia,,,UN227,Kelebei Clinic,Y,,,,,,,Not,Not,N,,,,,,,,Bong,LBR02,Sanoyea,LBR0208,,Kelebei,7.013664613,-10.092759,,,"Geonames Identifies as ""Kelebei"" - imagery shows a village",,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,LH 793 754,29NLH 793 754,29NLH 793 754
Liberia,Open,19.08.14,UN226,Sanoyea Clinic,Y,Clinic,,Save the Children,N/A,,,Nil,3,N,,,,,,,,Bong,LBR02,Sanoyea,LBR0208,,Sanoyea,6.974384731,-9.981692,,,,,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,LH 9156 7103,29NLH 9156 7103,29NLH 9156 7103
Liberia,,19.08.14,LR06-000028,Fenutoli,,Clinic,,Africare-Liberia,N/A,,,,,,,,,,,,,Bong,LBR02,Suakoko,LBR0209,,Fenutoli,6.67909000000,-9.691320,,,,,,,,,,,,,,
Liberia,Open,20.10.14,UN234,Gbartala Clinic,Y,Clinic,,SC-UK,N/A,,,Nil,2,N,,,,,,,,Bong,LBR02,Suakoko,LBR0209,,Gbatala,6.890260369,-9.673340,,,"OSM and Geonames Identify as ""Gbatala"" - imagery shows a town",,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MH 2561 6167,29NMH 2561 6167,29NMH 2561 6167
Liberia,Open,,UN235,Gbartuah Clinic,,,,,,,,Nil,1,N,,,,,,,,Bong,LBR02,Suakoko,LBR0209,,Kalimai,7.786053493,-9.511803,,,"Geonames identifies location as ""Kalimai"" - imagery shows a forested area - OSM data suggests sparse population (not an obvious village or town)",,,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MJ 4357 6068,29NMJ 4357 6068,29NMJ 4357 6068
Liberia,Open,,UN231,Phebe Hospital,Y,Hospital,,,210,,,2,4,N,,,,,,10.09.2014,-,Bong,LBR02,Suakoko,LBR0209,,Phebe,6.6748,-9.577300,,,"The new 50 bed facility has been handed over to the County Authority and is awaiting admissions, as at 10 September. Hospital to ETC. As at 22 August, a new ETU is being constructed however it is not determined how the clinic services will be run",https://www.internationalsos.com/ebola/index.cfm?content_id=396&language_id=ENG,http://www.openstreetmap.org/node/3025531444#map=10/6.6748/-9.5773,,,UNMO TEAM SITE 10 – (GBRANGA),10,Gbranga,29N,MH 3881 7693,29NMH 3881 7693,29NMH 3881 7693
Liberia,,19.08.14,LR06-000011,Phebe  OPD,,Clinic,,Africare-Liberia,N/A,,,,,,,,,,,,,Bong,LBR02,Suakoko,LBR0209,,Phebe ,7.02813000000,-9.554070,,,,,,,,,,,,,,
